course_code,course_name,prerequisites,incompatible,restricted,faculty,school,units,semesters,duration,description
BIOL3011,Plant Microbe & Insect Interactions,,BOTN3007 or PLNT3807 or BIOL7012,,Science,Agriculture Food Sciences Schl,2,,One Semester,"Topics include molecular & biochemical interactions of plants with microbes & insects, cell signalling pathways, molecular & structural defence responses, disease diagnostics, applications in agriculture & biotech, as well as some interesting evolutionary & ecological aspects."
BIOL3014,Advanced Bioinformatics,SCIE2100 or MATH2210,BINF7000,,Science,Chemistry & Molec Biosciences,2,2,One Semester,"Advanced Bioinformatics equips the student with the interdisciplinary knowledge and skills necessary to meet the data-centred challenges of modern-day biology. Methods and algorithms for uncovering patterns in genomic data of different forms are discussed, and in several cases developed, implemented and applied to representative problems."
BIOL3015,Rainforest Ecology Field Studies,(BIOL2006 or BIOL2106) & BIOL2010,ECOL3801,,Science,Biological Sciences School,2,,One Semester,"This course is no longer offered.
Six-day excursion in the mid-semester recess to rainforest areas of south-eastern Queensland. Rainforest vegetation, gap dynamics, the habitats, behaviour & ecology of rainforest animals, particularly vertebrates & forest floor invertebrates. There are additional costs for the field trip."
BIOL3016,Outback Ecology Field Studies,BIOL2010,ECOL3802,Permission of School of Biological Sciences. Quota 80 (in total),Science,Biological Sciences School,2,,One Semester,"Field course: 6 days camping at Idalia National Park in Western Queensland, studying ecology of arid zone. This course is held between semesters 1 & 2 but students must enrol in semester 1. Additional costs for field trip. Quota 80 (in total). All enquiries for permission to enrol to be addressed to biology.enquiries@uq.edu.au. Preference given to 3rd year students who have completed BIOL2010 and BIOL2015. 2nd year students will be considered if there are places available."
BIOL3023,Tropical Marine Ecosystems,MARS2014 and BIOL2204,,Approval of School of Biological Sciences at biologyadmin@uq.edu.au,Science,Biological Sciences School,2,,One Semester,"Tropical Coastal Ecosystems include mangrove, seagrass, and coral reefs ecosystems. The complex physical benthic structure of these ecosystems facilitates enormous trophic and ecological partitioning such that a huge number of species from almost all animal phyla are found in these habitats. In addition, they provide essential coastal protection by absorbing a large proportion of the energy stores in waves and stabilising sediment. These ecosystems are, however, under acute risk from decay due directly to human activities. This course will provide knowledge pertinent to 1) the geological history, structure and distribution of the ecosystems, 2) building and sustaining coral reefs in an oligotrophic ocean, and 3) ecological functions of mangroves and seagrass ecosystems."
BIOL3200,Current Topics in Plant Science,BIOL2203,,,Science,Agriculture Food Sciences Schl,2,,One Semester,"Advanced topics in plant science spanning plant biotechnology through to plant ecology including an integration of these sub-disciplines. Cutting edge advancements on plant disease, plant molecular biology, plant development, plant improvement, plant ecophysiology & sustainability, including the Australian & international context of global warming, water shortage & nitrogen fertilizer & fossil fuel limitation."
BIOL3201,Fungi & Plant Diseases,,BOTN2004 or BOTN6017,,Science,Agriculture Food Sciences Schl,2,,One Semester,"This course is all about identifying, examining & controlling the various microbes that cause plant diseases & which threaten Australian agriculture & native flora & also an understanding of the causes of abiotic disorders. The aim of this course it to provide students with: knowledge in the life cycles of the major groups of plant pathogens; this includes plant pathogens that are fungi, nematodes, viruses & nematodes; Knowledge of abiotic factors that can cause disorders in plant growth; skills in plant disease diagnoses (describing symptoms & identifying the causal agent); knowledge on how to control plant diseases whether through genetic, chemical or by biological control methods; knowledge of the major plant diseases affecting Australian crops & native flora; the ability to recognise the relevance of quarantine regulations in attempts to control incursions of plant diseases."
BIOL3202,Plant Biology II,,BOTN3002 or PLNT3802,,Science,"Biological Sciences School, Chemistry & Molec Biosciences, Agriculture Food Sciences Schl",2,1,One Semester,"Recent developments in plant developmental & cell biology with emphasis on functional genetics & signalling; important role of meristems as pluripotent stem cells controlling plant morphogenesis, plant energetics and the process of different photosynthesis systems."
BIOL3203,Plant Molecular Biology & Biotechnology,BIOL2202 or BIOL2902,BOTN3006 or PLNT3806,,Science,"Chemistry & Molec Biosciences, Agriculture Food Sciences Schl",2,1,One Semester,"How plants function at the molecular level, with an emphasis on molecular genetics. How the concepts & tools of molecular biology are applied to solve biological problems & produce improved plants & products. Plant genes, molecular markers, & transgenic plants."
BIOL3204,Plant Adaptation and Global Change,,BOTN3005,,Science,"Biological Sciences School, Agriculture Food Sciences Schl",2,,One Semester,"Global change is a topic of great concern but what does it really mean for plants and plant communities? Change includes increasing temperatures, decreasing rainfall, rising atmospheric carbon dioxide levels, degrading soils, excess of nutrients, salt, heavy metals or man-made chemicals. Change can mean altered presence of herbivores, pests and pathogens, or competition with aggressive weeds. To manage plants and their communities in a changing world, it is instrumental to understand how plants adapt to change.

In this course, you will investigate how plants fare in ecosystems, currently and in the future. You will explore the processes that govern plant communities. Collaborating with government scientists and using an advanced web-interface to provide information, you will gain first-hand experience with field visits and data collection for hypothesis-driven research in south-east Queensland. Participants choose on-demand lectures and discussions and partake in small group activities to gain the skills essential for plant and ecosystem science sought after by employers and foundation for postgraduate studies."
BIOL3205,Physiological and Integrative Zoology,BIOL2204 (from 2018),ZOOL3005,,Science,Biological Sciences School,2,,One Semester,"This course will examine modern approaches in animal ecophysiology, detailing examples from both the laboratory and field, and highlighting the integration of molecular, physiological and ecological techniques. In particular, it will focus on how animals have evolved strategies to overcome the physiological challenges associated with changing and/or extreme environmental conditions. It will pay special attention to the Australian fauna & habitats, including case studies on: freshwater fish and turtles, euryhaline sharks, desert frogs, crocodiles, birds and insects. Students will be introduced to the emerging and exciting field of ""Conservation Physiology"" that attempts to demonstrate cause and effect of human-induced environmental disturbance on organisms."
BIOL3206,Australian Marine Vertebrates,BIOL2204,ZOOL3006 or ZOOL3010,,Science,Biological Sciences School,2,,One Semester,"This course is no longer offered.
Biology of marine vertebrates, including elasmobranchs, bony fish, reptiles, birds & mammals with an emphasis on Australian fauna."
BIOL3207,Animal Behaviour,,ZOOL3002,,Science,"Biological Sciences School, Veterinary Science School",2,,One Semester,"Patterns of invertebrate & vertebrate animal behaviour, physiological bases of behaviour, development of behaviour, how patterns of behaviour evolve & how these are studied. Examples will be taken from both invertebrate & vertebrate animals. Evaluate & test hypotheses about behaviour critically. Critique papers from the primary literature & carry out research projects on animal behaviour."
BIOL3208,Applied Insect Biology,,,,Science,Biological Sciences School,2,,One Semester,"This course is no longer offered.
The impacts of insects on our lives are substantial and varied. This course explores some of the currently relevant areas of applied entomology. Topics include; control of mosquitoes and the impact of climate change on disease transmission by insects, the ecology of plant and insect interactions, biological control and the use of pesticides in the developing world, pest management in organic farming, beneficial insects, forensic entomology, and understanding how insect parasites and symbionts impact on the host insect. To complement the lecture series students will be guided through the process of designing and implementing research questions in self-directed laboratory sessions."
BIOL3209,"Biodiversity Analysis, Discovery and Systematics",,,,Science,Biological Sciences School,2,1,One Semester,"This course examines the processes that drive the diversity and distributions of plants and animals. It will cover topics about the basic units of biodiversity - species -and how new species are discovered, recognised and described. We cover the phylogenetic basis of classification systems, and the different methods used to reconstruct evolutionary history and to test the origin of traits, including those relevant for ecology and adaption. We discuss processes that are thought to contribute to lineage diversity, and how biodiversity has changed through time and over large geographic scales. Case studies come primarily from plants and animals (both terrestrial and marine), but with some reference to other organisms. Examples will largely be drawn from, but not limited to, Australian examples."
BIOL3210,Fungal Biology,,,,Science,Agriculture Food Sciences Schl,2,,One Semester,"There are approximately 70,000 described fungal species in the world out of what has been estimated to be a total of between 1-5 and 5 million species. In Australia possibly less than 10% have been described. Fungi exist as saprophytes, pathogens, endophytes and mutualistic symbionts. Along with algae they form lichens and with plants they form the all-important mycorrhizae, particularly essential for plants growing in nutrient depleted soils. Fungi cause 80% of plant diseases in agricultural crops, occasionally leading to crop failure where past incidences have led to humanitarian problems and other major social consequences. They are essential components in drug discovery and pharmaceutical production; most of the current antibiotics have been derived from fungal processes. Industrial uses such as the production of citric acid are dependent on fungal fermentation; the yeasts, essential components in alcohol fermentation and baking, are also fungi. However, as a Kingdom, a higher Kingdom within the Eukaryotes, fungi are often overlooked. This course aims to promote the Kingdom Fungi. You will learn about their classification using both traditional and molecular techniques. You will investigate the environments that you find fungi in and study the role that fungi play in those environments. Fungi are essential in the breakdown of cellulose and lignin so without them the decay and essential recycling would not occur. We will look at some of the industrial and medical applications as well as the nastier side of fungi where they cause disease in plants and animals including humans."
BIOL3211,Marine Invertebrates,BIOL2204,ZOOL2028 or BIOL2011,Maximum quota of 50 students.,Science,Biological Sciences School,2,,One Semester,"Biology of tropical and subtropical Indo-Pacific marine invertebrates. We explore structural, functional & life history adaptations of invertebrate body plans to the marine environment to explain ecological and evolutionary patterns of diversity. Quota 50 (in total). All enquiries for permission to enrol to be addressed to biology.enquiries@uq.edu.au. Preference given to third year students who have completed BIOL2204 and who are Marine major students. Students in other majors will be considered on merit if there is space."
BIOL3212,Advanced Evolutionary Biology,BIOL2201,ZOOL3001,,Science,Biological Sciences School,2,,One Semester,"This course is no longer offered.
Considers various evolutionary explanations for biological phenomena. Unifying theme is adaptation & the origin of species. With special emphasis on developmental processes, natural & sexual selection, molecular evolution & symbiotic interactions. Practical focus on analysis & synthesis of the primary literature as a basis for the identification of significant research questions."
BIOL3214,Applied Ecology,BIOL2010 and (BIOL2006 OR BIOL2106),,,Science,Biological Sciences School,2,,One Semester,"This course is no longer offered.
Historical background, current debate, & evidence evaluation of applied ecology especially focusing on (1) how communities assemble in time & space, (2) rapid evolution of populations, (3) current trends in global change ecology, (4) landscape ecology, & (5) invasive species ecology."
BIOL3215,Marine Ecology and Conservation,BIOL2010 + MARS2014,MARS3011 or MARS3002,,Science,Biological Sciences School,2,,One Semester,"Ecology & conservation of marine and estuarine plants and animals. Emphasis on the dynamics & interactions of populations, assemblages & communities in marine environments, including an examination of theory, methods & approaches used to study these systems (including field activities). Appreciation of the threats that impact marine ecosystems and how this can affect people. Understanding the degree to which evolutionary adaptation can build resilience to the effects of climate change. Detailed exploration of cutting-edge conservation issues and practices including marine reserve design and the importance of blue carbon."
BIOL3219,Coral Reefs,MARS2014,MARS3001,,Science,Biological Sciences School,2,,One Semester,"This course discusses the biological & non-biological processes that construct and maintain coral reef ecosystems, from past to present. Students will be introduced to classification, biogeography and biology of coral reef organisms, current threats and management strategies."
BIOL3221,Advanced Topics in Zoology,BIOL2204,,,Science,Biological Sciences School,2,,One Semester,"This course will examine Australian-focused advanced topics in zoology including the problem of invasive species, rapid survey techniques, animal identification, environmental impact report writing, insects and insect pest, paleobiology and a unit on what professional zoologists do in their jobs. The course involves lectures, discussion groups, laboratories and a weekend field trip to Mt Glorious. There will be an extra cost for the weekend field trip to cover the cost of transport, accommodation and food."
BIOL3222,Model Organism Genetics,BIOL2202 or BIOL2902,,,Science,"Biological Sciences School, Chemistry & Molec Biosciences",2,2,One Semester,"The course will investigate the full breadth of experimental paradigms for genetic analysis in four multicellular model genetic organisms (Arabidopsis, Drosophila, C. elegans and mouse) through a structured series of lectures with a focus on the primary research literature. A series of research paper discussions will be integrated with the lectures. In the latter portion of the course, students will select an academic mentor who will assign a research problem to them. The academic mentor will then guide students in the development of a research proposal designed to address the assigned problem."
BIOL3227,Plant Identification and Vegetation Classification,,BOTN3004 or PLNT3804,,Science,Biological Sciences School,2,,One Semester,Laboratory and field-based course aimed at developing professional skills in plant identification and community classification. Focus on identification of major plant families and regional ecosystems from South-east Queensland. 1 day field trip.
BIOL3228,Advances in Marine Biology and Biotechnology,"BIOL1020, BIOL1030",,,Science,Biological Sciences School,2,,One Semester,"This course is no longer offered.
The ocean is a wild and dangerous place for the animals that live there and for humans that venture into it. This course explores the interactions between marine animals, their pathogens and parasites. From toxic animal venoms, through host defences against the marine pathogens that threaten them, to the diverse world of parasitism, understanding the complex interactions between marine organisms is leading to major advances in marine bioproducts, aquaculture and biosecurity. Students enrolling in BIOL3228 will gain broadly applicable techniques in biochemistry, immunology, microbiology and parasitology. They will learn theoretical and practical skills against an applied background of novel pharmaceuticals, disease prevention in fish farming, and control of invasive species in Australian waters"
BIOL3230,Endocrinology & Metabolism,BIOM2012 + BIOC2000,BIOM3001 + BIOC3001,,Science,"Biomedical Sciences School, Chemistry & Molec Biosciences",2,,One Semester,"This course is aimed at illustrating for students how the disciplines of physiology, biochemistry and nutrition integrate to provide a basis for an understanding of human biology. In particular, the theme of obesity and the metabolic syndrome will be used to show how knowledge from these disciplines aids in our understanding of this health problem affecting many world-wide. The course will be of particular interest to students who are interested in a career in nutritional science or dietetics."
BIOL3232,Insect Identification and Taxonomy,,ENTM3001,,Science,Biological Sciences School,2,,One Semester,"A remote delivery (distance education) course that addresses the identification and classification of insects, the most species-rich component of terrestrial ecosystems. The course will cover the recognition of insects orders and the identification of specimens to family level using different types of keys and resources. A number of specific topics will be explored including: morphological and biological characteristics of the major insect orders; life histories of selected pest and beneficial species, sociality, sound production methods and functions, feeding mechanisms, adaptations and biology of vertebrate ectoparasites, insects as disease vectors of plants and animals, mimicry and defensive adaptations and parasitism.
The practical component will examine collecting techniques, identification of adult insects to family level, identification of immature stages and feeding damage. A requirement of the course is the presentation of a well-curated insect collection and attendance at a compulsory residential course."
BIOL3234,Biology Project,,,Permission from Head of School,,,2,,One Semester,"An extended field, laboratory or library project carried out under direction of supervisor approved by Chair, School of Biological Sciences Teaching & Learning Committee. Application form available online from the course profile website"
BIOL3236,Climate Change Biology,,,,Science,Biological Sciences School,2,,One Semester,"Anthropogenic climate change presents a wide range of impacts and challenges for both the planet and the organisms that exist upon it. Drawing on a cross-section of fields from within the biological sciences, this course moves from our understanding, through paleontological evidence, of prehistoric climate change and its effects on our biota to current anthropogenic climate change and its potential consequences for individual organisms with regard to physiology, behaviour, population dynamics, and community effects. Students will also explore the challenges and uncertainties climate change present to scientists in terms of its potential impacts on terrestrial and marine species' distributions including infectious pathogens and their arthropod vectors."
BIOL3238,"Insect Structure, Function & Physiology",,,,Science,Biological Sciences School,2,,One Semester,A remote delivery (distance education) course that brings together basic anatomy and physiology and relates this to behaviour. The main body systems will be examined sequentially and aspects of biology relevant to currently active or promising research areas featured. The course features aspects of physiology and anatomy that are relevant to the status of insects as pests and beneficial organsims and as developmental model organisms. Class discussions of relevant topics are encouraged and assessed. Recorded mini-lectures accompany web-based resources.
BIOL3239,Brain to Behaviour: Invertebrate Neuroethology,,,,Science,Biological Sciences School,2,,One Semester,"The science of neuroethology links brain function to natural behaviour. This course will explore the neural and molecular mechanisms that drive animal behaviour, elucidating how the nervous system translates biologically relevant stimuli into behavioural activity. Thought-provoking examples from the animal world will demonstrate how these mechanisms have evolved and adapted to specific challenges of their environment. The course will provide students with an in-depth understanding of neuroscientific approaches to behavioural research in invertebrate model organisms. They will gain an understanding of how quite complex behaviours can in some cases be reduced to relatively simple ""detect and respond"" reflexes. Topics include odour-guided navigation and pheromone communication, visual processing of colours and shapes, marine neuroethology, neuroscience of circadian rhythms, the molecular basis of learning and memory, and the genetic basis of animal cognition. We touch on the emerging field of bio-robotics, where principles of insect sensory integration and locomotion are incorporated into robot design. The course is designed for students with a background in biology, neuroscience or psychology."
BIOL3310,Macroecology and Biogeography,BIOL2006 or BIOL2106,,,Science,Biological Sciences School,2,1,One Semester,"Biological diversity has puzzled and fascinated evolutionary biologists and ecologists for well over a century. In this course we will explore evolutionary and ecological theories of diversity, while learning core methods for studying patterns of diversity from a variety of angles. Questions we will explore in this course include: Why are species found in some locations and not others? Are the geographic distributions of communities, higher order taxa, species, and alleles predictable by geography, environment, historical contingencies or interactions with other species, or inherent characteristics of species?
Macroecology and biogeography are the study of spatial and temporal distributions of organisms, drawing upon the complementary disciplines of ecology and evolutionary biology. In this course, students will consider spatial patterns of biodiversity from global to local scales and considering both terrestrial and marine examples. Students will gain experience using approaches from comparative phylogenetics, community ecology, and landscape genetics to infer underlying causes of extant distributions and project future distributions in a changing world. Weekly learning activities will emphasize student participation, with discussions based on readings from the primary literature and problem solving using state-of-the-field computing. Enrolling students are expected to have basic familiarity with R (and have completed Biostatistics,BIOL2006) and to have completed second Ecology (BIOL2010) or Evolution (BIOL2201)."
BIOL3320,Vertebrate Diversity and Evolution,"BIOL2204, BIOL2201",,,Science,Biological Sciences School,2,,One Semester,"This course will cover of all aspects of vertebrate evolution and diversity through space and time, delivered with a focus on Australian species. It will explore the main living and extinct vertebrate groups (fishes, amphibians, reptiles, birds, and mammals) with Australian examples, based on lectures and matching hands-on pracs. Subsequently, lectures and hands-on pracs will examine the basic body plan, diversity/ taxonomy/ ID, evolution, phylobiogeography, biomechanics (feeding and locomotion), and current topics of interest (such as conservation or biomedical relevance)."
BIOL3340,"Fish, Fisheries and Aquaculture",BIOL2006 or BIOL2106 and MARS2014,BIOL3228,,Science,"Biological Sciences School, Mathematics & Physics School",2,,One Semester,"Fisheries and aquaculture represent the largest source of dietary protein and are pivotal in current food
security. The science of sustainable management of these precious resources is therefore critical in the global grand challenge of sustainable future food security. This course provides advanced level content in the biology and mathematics of fisheries and aquaculture, including fish reproductive biology and dispersal, mathematical modeling and stock assessment, fish nutrition, health and genetics in aquaculture and fisheries. Students will produce a cohesive, evidence-based scientific discourse on the potential placement of fish and fisheries, both capture and aquaculture, in future global food security and poverty alleviation. For this they will draw extensively on the relevant biological sciences and mathematics and show adaptability and application in a changing economic and ecological framework. Excellent students should be able to demonstrate substantial unexpected extension in their critical analysis and thinking and in how they apply their in-depth knowledge and communicate it to a broader scientifically literate audience."
BIOL3350,Genetics and Evolution of Complex Traits: From Humans to Non-Model Organisms,BIOL2202 or BIOL2902 and BIOL2006 or BIOL2106,,,Science,Biological Sciences School,2,0,One Semester,
BIOL3360,Analysis and Communication of Biological Data,BIOL2006 or BIOL2106,,,Science,Biological Sciences School,2,,One Semester,"Communication and Analysis of Biological Data is a practical, skills based course, useful for a variety of science related career paths. The course integrates the analysis and modelling of common types of biological data with effective ways of communicating the results to a range of different audiences. The course builds upon and extends students' knowledge of statistical techniques learned in BIOL2006 and when and how to apply them to biological data. It introduces students to some common mathematical models used in biology to predict complex biological outcomes and uses a hands-on approach to learning the use of R programming for data analysis. Without the ability to communicate results, the effort involved in obtaining them is rendered useless, hence the course has a strong emphasis on learning to clearly articulate statistical methods and results in writing and speaking so they are readily understood by other scientists and non-scientists, such as in industry or government. As well as specifically addressing the challenge of how to write and speak about complex topics
such as uncertainty and sampling, this course will equip students with a variety of fundamental writing and speaking skills which will lead to improved performance in communication tasks in other courses and the workplace."
BIOL3370,Animal-Plant Interactions,BIOL2006 or BIOL2106,,,Science,Biological Sciences School,2,,One Semester,"This course will be first offered in Semester 1, 2017.This course will provide you with knowledge of the key principles and theories underpinning the relationships between animals and plants. It will cover animal-plant co-evolution, the key elements of animal-plant interactions (host selection, herbivore feeding behaviour and strategies, pollination biology), multi-trophic interactions and how these animal-plant interactions underpin much of the world's biodiversity. How these interactions affect animal and plant population dynamics and the management of pest and weed populations will also be covered."
BIOL3380,Laboratory Skills in Genetic Research,BIOL2202 or BIOL2902,,Maximum quota of 48,Science,Biological Sciences School,2,1,One Semester,"In this intensive practical course, core genetic skills will be taught initially, followed by an opportunity for
students to perform semi-independent projects in an area of specialisation that they choose. The course will be taught at a high level with students expected to take responsibility for all aspects of their practical work, much as would be required in a research or commercial lab. The core skills will be based around DNA extraction from a variety of sources, amplification and sequence analysis. Students will be required to make their stock solutions, calculate all dilutions, and conduct detailed trouble-shooting of results. Knowledge and experience gained at these core laboratory genetics skills will set students up well either for molecular laboratory-based employment or continuing study at honours level. Students will be mentored in the appropriate use of a laboratory notebook, as well as in lab safety and risk assessment. Students will be expected to present their results in descriptive, detailed and accurate reports. The advanced practicals will be designed around ongoing genetics research in the School of Biological Sciences."
BIOL3390,Genome Evolution,BIOL2006 or BIOL2106 and (BIOL2202 or BIOL2902 or BIOL2201),,,Science,Biological Sciences School,2,1,One Semester,"This course will be first offered in Semester 1, 2017.In this course we will investigate how core features of genomes seen across the tree of life can be
explained in the light of evolution and population genetics. Topics that will be covered include the causes of molecular genetic variation, the evolution of chromosome architecture, gene structure, selfish genetic elements, sex chromosomes, and evolvability. The first half of the course will consist of traditional lectures paired with group discussion sessions. During the second half the students will work in groups conducting various research projects using techniques from molecular population genetics and bioinformatics.
Skills: population genetics thinking, critical reading of scientific articles, scientific discussions, conducting research projects in a team, bioinformatics, working with R, molecular population genetics techniques."
BIOL6402,Critical Thinking and Communication in Biology,,,BSc(Hons),Science,Biological Sciences School,2,,Two Semesters,"BIOL6402 will introduce you to the broader scientific field of biology. You will read, discuss and present scientific knowledge outside the area of your research project. The course is run as a series of discussion groups."
BIOL6403,Critical Thinking and Communication in Biology,,,,Science,Biological Sciences School,2,,Two Semesters,"BIOL6403 will introduce you to the broader scientific field of biology. You will read, discuss and present scientific knowledge outside the area of your research project. The course is run as a series of discussion groups."
BIOL6500,Major practicum (Sport Science),Successful completion of 16 units from the Master of Sport Science program,,Not available to Study Abroad/Exchange students.,,,8,,One Semester,"Minimum of 500 hours of field experience related to sport science in an institute of sport, professional sporting team or sporting organisation."
BIOL6501,BSc(Hons) Research in Biological Sciences,,,BSc(Hons),Science,Biological Sciences School,14,,Two Semesters,"In the School of Biological Sciences BSc Honours program you will undertake your own research project in a setting of academic excellence in biological research. The program challenges you to make the transition from undergraduate student with set course of study to a postgraduate student actively involved in research and associated activities. During the Honours year you will develop and demonstrate your capabilities for critical thought and independent research within an area of biology. You will learn how to conceive, design, carry out and communicate science. This course includes a research proposal, proposal seminar, research project, final seminar and seminar diaries."
BIOL6502,BSc(Hons) Research in Biological Sciences,,,BSc(Hons),Science,Biological Sciences School,14,,Two Semesters,"In the School of Biological Sciences BSc Honours program you will undertake your own research project in a setting of academic excellence in biological research. The program challenges you to make the transition from undergraduate student with set course of study to a postgraduate student actively involved in research and associated activities. During the Honours year you will develop and demonstrate your capabilities for critical thought and independent research within an area of biology. You will learn how to conceive, design, carry out and communicate science. This course includes a research proposal, proposal seminar, research project, final seminar and seminar diaries."
BIOL6503,BSc(Hons) Research in Biological Sciences,,,BSc(Hons),Science,Biological Sciences School,14,,Two Semesters,"In the School of Biological Sciences BSc Honours program you will undertake your own research project in a setting of academic excellence in biological research. The program challenges you to make the transition from undergraduate student with set course of study to a postgraduate student actively involved in research and associated activities. During the Honours year you will develop and demonstrate your capabilities for critical thought and independent research within an area of biology. You will learn how to conceive, design, carry out and communicate science. This course includes a research proposal, proposal seminar, research project, final seminar and seminar diaries."
BIOL6504,Honours Research Project,,,,Science,Agriculture Food Sciences Schl,16,,Two Semesters,"The Bachelor of Science (Honours) program provides students with the opportunity to pursue an independent research project in the area of Plant Science under the supervision of an academic staff member. Students will acquire skills which will enable them to work without close supervision in a research environment in industry or government, or to proceed to a research higher degree."
BIOL6505,Honours Research Project,,,,Science,Agriculture Food Sciences Schl,16,,One Semester,"The Bachelor of Science (Honours) program provides students with the opportunity to pursue an independent research project in the area of Plant Science under the supervision of an academic staff member. Students will acquire skills which will enable them to work without close supervision in a research environment in industry or government, or to proceed to a research higher degree."
BIOL6506,Honours Research Project,,,,Science,Agriculture Food Sciences Schl,16,,Two Semesters,"The Bachelor of Science (Honours) program provides students with the opportunity to pursue an independent research project in the area of Plant Science under the supervision of an academic staff member. Students will acquire skills which will enable them to work without close supervision in a research environment in industry or government, or to proceed to a research higher degree."
BIOL6510,Sport Biomechanics,,,,,,2,,One Semester,"This course builds upon prior studies in Biomechanics. The course will apply the principles of biomechanics to the assessment and optimisation of sporting skill and sports performance. The course is designed to give extensive training in laboratory-based skills and in the interpretation of laboratory-based and research findings. Particular focus will be around present-day issues in sport biomechanics. A range of sports and performance will be selected as case studies.

This course is available to Study Abroad/Exchange students."
BIOL7005,Research & Development Proposal,"Permission of Director, Biotechnology Program",,,Science,Chemistry & Molec Biosciences,2,,One Semester,Written proposal in the form of a research grant application involving an industry partner.
BIOL7011,Molecular Diagnostics in Plant Protection,,BIOL6011,,Science,Agriculture Food Sciences Schl,2,,One Semester,This course is offered EVEN years only. Next offering in 2018
BIOL7012,Plant-Microbe & Insect Interactions,,BIOL3011,,Science,Agriculture Food Sciences Schl,2,,One Semester,"Topics include molecular & biochemical interactions of plants with microbes & insects, cell signalling pathways, molecular & structural defence responses, disease diagnostics, applications in agriculture & biotech, as well as some interesting evolutionary & ecological aspects."
BIOL7013,Biosecurity Plant Pests: Invertebrates,,,,Science,Biological Sciences School,2,,One Semester,"This course investigates invertebrate plant pests, their identification and classification, their life-cycle and their host relationships from a biosecurity perspective. The main focus of the course is insects, as they are the most numerous of the invertebrate plant pests; however, nematodes, snails and mites will also be covered. Because of the complexity of invertebrate life-cycles, some of which occur in the absence of the host, a biological understanding is essential for appropriate border inspection and post-border surveillance. Basic management approaches to dealing with invertebrate plant pest incursions are discussed in this course. Students become familiarised with international conventions and standards associated with biosecurity."
BIOL7017,Plant Pathology,,"BOTN2004 or 6005, BOTN6017",,Science,Agriculture Food Sciences Schl,2,,One Semester,"To introduce the field of plant pathology; the major plant pathogen groups (fungi, oomycetes, bacteria, viruses, nematodes & phytoplasmas) & their identification (optional practical classes); methods of control (chemical, cultural, genetic & biological) & impact on society (historically, environment, quarantine & GM)."
BIOL7232,Advanced Insect Identification and Taxonomy,,,,Science,Biological Sciences School,2,,One Semester,"This course covers the identification and taxonomy of insects, particularly those of relevance to Australian biosecurity. The practical component will examine collecting and preserving techniques, and identification of adult and immature insects and their feeding damage. The course is mostly delivered online but there is a compuslory 5 day residential component. A requirement of the course is the presentation of a well-curated insect collection."
BIOL7386,Anatomy and Biomechanics,,HMST7386 or BIOL7386; HMST2630 or 3633 or ANAT1005 or ANAT2029,,Health & Behavioural Sciences,Human Movement & Nutrition Sci,2,,One Semester,"Knowledge and understanding of the musculo-skeletal system and its application to human movement. Application and evaluation of major movement patterns in specific sports.
This course had the previous code of HMST7386 which can be viewed in the archived area within the Course and Program site http://www.uq.edu.au/study/archive/index.html"
BIOL7630,Biomechanical Basis of Human Movement,,HMST2630; HM263 + (HM264 or 265); HMST2630 or BIOL2630,MExSc,,Human Movement & Nutrition Sci,2,,One Semester,"The understanding of the mechanical and biological principles underpinning exercise science and their relation to the interaction of the human body and the physical world. Principles of motion, force, friction, gait, muscle and its neural activation as it relates to exercise science and clinical exercise prescription are covered. This course had the previous code of HMST7630 which can be viewed in the archived area within the Course and Program site http://www.uq.edu.au/study/archive/index.html"
BIOL8001,Preparation for Professional Doctoral Research,"Permission of Director, Biotechnology Program",,,Science,Chemistry & Molec Biosciences,2,,One Semester,"Students will undertake work in three areas: 1) Time management & integration of the thesis topic with professional practice, 2) research methods, basic statistics, quantative & qualitative research &, 3) organisation & writing the thesis. The course is intended to prepare students from a business environment for writing their professional doctorate thesis. Students will develop a thesis topic that complements or supports their work environment or develop a new area of interest that relates to the business or practice of biotechnology."
BIOM1050,Biology for Health Sciences,,"BIOL1040, BIOM1051","Restricted to students enrolled in the BENS, BExSS (Hons), BHSPE (Hons), B Clin Ex Physiol (Hons) and BHlthSc programs only.",Medicine,"Biomedical Sciences School, Chemistry & Molec Biosciences",2,,One Semester,"The course covers the fundamental concepts that allow the human body to function, with an approach that is appropriate for students who did not study Senior Chemistry at school. Key areas of study include fundamental biochemistry & molecular biology, basic cell function, neuronal structure & function, motor mechanisms, locomotion & development, circulation & gas exchange, and the endocrine system. Homeostasis and the integration of concepts as they apply to the structure and function of different regions of the entire human body are of key importance."
BIOM1051,Introductory Cellular Physiology,,"BIOL1040, BIOM1050","Restricted to students enrolled in the BPharm (Hons), BDentSc (Hons), BOccHlthSafetySc (Hons) programs only.",Medicine,"Biomedical Sciences School, Chemistry & Molec Biosciences",2,,One Semester,"The course covers the fundamental concepts that allow complex organisms to function, with some focus on the human body & other higher organisms. Key concepts include basic cellular transport & signalling mechanisms, principles of biochemistry, neuronal structure & function, motor mechanisms & locomotion, circulation & gas exchange, the endocrine system & developmental biology. Of key importance is the integration of concepts as they apply to the structure and function of different regions of the entire organism."
